key,service,resource_name,asset_class,identity_rule,parent_params,required_args,collect,reason
accessanalyzer.access_preview,accessanalyzer,access_preview,artifact,none,,,no,"name denotes an API readout, not a resource"
accessanalyzer.policy_generation,accessanalyzer,policy_generation,artifact,none,,,no,returns a list but declares no id field
accessanalyzer.tags_for_resource,accessanalyzer,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
account.account,account,account,artifact,none,,,no,no read operation; cannot be collected
account.contact_information,account,contact_information,artifact,none,,,no,"name denotes an API readout, not a resource"
acm.account,acm,Account,artifact,none,,,no,no read operation; cannot be collected
acm.account_configuration,acm,account_configuration,artifact,none,,,no,"name denotes an API readout, not a resource"
acm.acme_domain_validation,acm,AcmeDomainValidation,artifact,none,,,no,"name denotes an API readout, not a resource"
acm.acme_endpoint,acm,AcmeEndpoint,artifact,none,,,no,no read operation; cannot be collected
acm.acme_external_account_binding,acm,AcmeExternalAccountBinding,artifact,none,,,no,no read operation; cannot be collected
acm-pca.certificate,acmpca,Certificate,artifact,none,,,no,no read operation; cannot be collected
acm-pca.certificate_authority_activation,acmpca,CertificateAuthorityActivation,artifact,none,,,no,no read operation; cannot be collected
acm-pca.permission,acmpca,Permission,artifact,none,,,no,"name denotes an API readout, not a resource"
acm-pca.tag,acmpca,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
aiops.investigation_group_policy,aiops,investigation_group_policy,artifact,none,,,no,returns a list but declares no id field
aiops.tags_for_resource,aiops,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
amp.query_logging_configuration,amp,query_logging_configuration,artifact,none,,,no,returns a list but declares no id field
amp.resource_policy,amp,resource_policy,artifact,none,,,no,returns a list but declares no id field
amp.scraper_logging_configuration,amp,scraper_logging_configuration,artifact,none,,,no,returns a list but declares no id field
amp.tags_for_resource,amp,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
amp.workspace_configuration,amp,workspace_configuration,artifact,none,,,no,returns a list but declares no id field
amplify.domain,amplify,Domain,artifact,none,,,no,no read operation; cannot be collected
amplify.tags_for_resource,amplify,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
amplifybackend.s3_bucket,amplifybackend,s3_bucket,artifact,none,,,no,A lookup helper on the Amplify API rather than a bucket. Real buckets come from s3.bucket.
amplifyuibuilder.metadata,amplifyuibuilder,metadata,artifact,none,,,no,"name denotes an API readout, not a resource"
amplifyuibuilder.tags_for_resource,amplifyuibuilder,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
apigateway.base_path_mapping,apigateway,BasePathMapping,artifact,none,,,no,no read operation; cannot be collected
apigateway.base_path_mapping_v2,apigateway,BasePathMappingV2,artifact,none,,,no,no read operation; cannot be collected
apigateway.deployment,apigateway,Deployment,artifact,none,,,no,no read operation; cannot be collected
apigateway.documentation_part,apigateway,DocumentationPart,artifact,none,,,no,no read operation; cannot be collected
apigateway.documentation_version,apigateway,DocumentationVersion,artifact,none,,,no,no read operation; cannot be collected
apigateway.domain_name_v2,apigateway,DomainNameV2,artifact,none,,,no,no read operation; cannot be collected
apigateway.gateway_response,apigateway,GatewayResponse,artifact,none,,,no,no read operation; cannot be collected
apigateway.model,apigateway,Model,artifact,none,,,no,no read operation; cannot be collected
apigateway.rest_account,apigateway,rest-account,artifact,none,,,no,no read operation; cannot be collected
apigateway.usage_plan_key,apigateway,UsagePlanKey,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.api_gateway_managed_overrides,apigatewayv2,ApiGatewayManagedOverrides,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.api_mapping,apigatewayv2,ApiMapping,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.authorizer,apigatewayv2,Authorizer,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.deployment,apigatewayv2,Deployment,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.integration_response,apigatewayv2,IntegrationResponse,artifact,none,,,no,no read operation; cannot be collected
