source_key,source_c7n,source_service,source_path,path_kind,target_key,target_c7n,edge_type,source,confidence,resolution,operation,evidence,corroborated_by,runnable,verdict,observed_sources,observed_hits,hit_rate,resolved_targets,dangling_targets,condition_violations,verdict_detail,verified_at
accessanalyzer.access_preview,,accessanalyzer,accessPreview.analyzerArn,dotted,accessanalyzer.analyzer,,references,doc,medium,service-exact,get_access_preview,accessanalyzer.GetAccessPreview,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
accessanalyzer.access_preview,,accessanalyzer,analyzerArn,scalar,accessanalyzer.analyzer,,references,doc,medium,service-exact,list_access_previews,accessanalyzer.ListAccessPreviews,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
accessanalyzer.generated_policy,,accessanalyzer,generatedPolicyResult.properties.cloudTrailProperties.trailProperties[].cloudTrailArn,list_dict,cloudtrail.trail,cloudtrail,references,doc,medium,global-exact,get_generated_policy,accessanalyzer.GetGeneratedPolicy,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
acm-pca.certificate_authority,,acm-pca,CertificateAuthority.RevocationConfiguration.CrlConfiguration.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,describe_certificate_authority,acm-pca.DescribeCertificateAuthority,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
acm-pca.certificate_authority,,acm-pca,RevocationConfiguration.CrlConfiguration.S3BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,list_certificate_authorities,acm-pca.ListCertificateAuthorities,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
acm-pca.certificate_authority,,acm-pca,S3BucketName,scalar,s3.bucket,s3,references,doc,medium,well-known,describe_certificate_authority_audit_report,acm-pca.DescribeCertificateAuthorityAuditReport,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.app,,amplify,app.productionBranch.branchName,dotted,amplify.branch,,references,doc,medium,service-partial,get_app,amplify.GetApp,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.app,,amplify,productionBranch.branchName,dotted,amplify.branch,,references,doc,medium,service-partial,list_apps,amplify.ListApps,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.app,,amplify,app.autoBranchCreationConfig.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,get_app,amplify.GetApp,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.app,,amplify,autoBranchCreationConfig.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,list_apps,amplify.ListApps,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
