cfn_type,cfn_namespace,cfn_resource,slug,primary_identifier,additional_identifiers,arn_property,has_read_handler,taggable,relationship_refs,description
AWS::ACMPCA::Certificate,ACMPCA,Certificate,acm-pca.certificate,"Arn,CertificateAuthorityArn",,Arn,yes,no,,"The ``AWS::ACMPCA::Certificate`` resource is used to issue a certificate using your private certificate authority. For more information, see the [IssueCertificate](https://docs.aws.amazon.com/privatec"
AWS::ACMPCA::CertificateAuthority,ACMPCA,CertificateAuthority,acm-pca.certificate_authority,Arn,,Arn,yes,yes,,Private certificate authority.
AWS::ACMPCA::CertificateAuthorityActivation,ACMPCA,CertificateAuthorityActivation,acm-pca.certificate_authority_activation,CertificateAuthorityArn,,,yes,no,,Used to install the certificate authority certificate and update the certificate authority status.
AWS::ACMPCA::Permission,ACMPCA,Permission,acm-pca.permission,"CertificateAuthorityArn,Principal",,,yes,no,,Permission set on private certificate authority
AWS::AIOps::InvestigationGroup,AIOps,InvestigationGroup,aiops.investigation_group,Arn,,Arn,yes,yes,,Definition of AWS::AIOps::InvestigationGroup Resource Type
AWS::APS::AnomalyDetector,APS,AnomalyDetector,aps.anomaly_detector,Arn,,Arn,yes,yes,,AnomalyDetector schema for cloudformation.
AWS::APS::ResourcePolicy,APS,ResourcePolicy,aps.resource_policy,WorkspaceArn,,,yes,no,,Resource Type definition for AWS::APS::ResourcePolicy
AWS::APS::RuleGroupsNamespace,APS,RuleGroupsNamespace,aps.rule_groups_namespace,Arn,,Arn,yes,yes,,RuleGroupsNamespace schema for cloudformation.
AWS::APS::Scraper,APS,Scraper,aps.scraper,Arn,,Arn,yes,yes,,Resource Type definition for AWS::APS::Scraper
AWS::APS::Workspace,APS,Workspace,aps.workspace,Arn,,Arn,yes,yes,,Resource Type definition for AWS::APS::Workspace
AWS::ARCRegionSwitch::Plan,ARCRegionSwitch,Plan,arc-region-switch.plan,Arn,,Arn,yes,yes,,"Represents a plan that specifies Regions, IAM roles, and workflows of logic required to perform the desired change to your multi-Region application"
AWS::ARCZonalShift::AutoshiftObserverNotificationStatus,ARCZonalShift,AutoshiftObserverNotificationStatus,arc-zonal-shift.autoshift_observer_notification_status,"AccountId,Region",,,yes,no,,Definition of AWS::ARCZonalShift::AutoshiftObserverNotificationStatus Resource Type
AWS::ARCZonalShift::ZonalAutoshiftConfiguration,ARCZonalShift,ZonalAutoshiftConfiguration,arc-zonal-shift.zonal_autoshift_configuration,ResourceIdentifier,,,yes,no,,Definition of AWS::ARCZonalShift::ZonalAutoshiftConfiguration Resource Type
AWS::AWSExternalAnthropic::Workspace,AWSExternalAnthropic,Workspace,awsexternalanthropic.workspace,Arn,Id,Arn,yes,yes,,Resource type definition for AWS::AWSExternalAnthropic::Workspace
AWS::AccessAnalyzer::Analyzer,AccessAnalyzer,Analyzer,accessanalyzer.analyzer,Arn,,Arn,yes,yes,,The AWS::AccessAnalyzer::Analyzer type specifies an analyzer of the user's account
AWS::AmazonMQ::Broker,AmazonMQ,Broker,amazonmq.broker,Id,,Arn,yes,yes,,Resource type definition for AWS::AmazonMQ::Broker
AWS::AmazonMQ::Configuration,AmazonMQ,Configuration,amazonmq.configuration,Id,,Arn,yes,yes,,Resource Type definition for AWS::AmazonMQ::Configuration
AWS::AmazonMQ::ConfigurationAssociation,AmazonMQ,ConfigurationAssociation,amazonmq.configuration_association,Id,,,no,no,,Resource Type definition for AWS::AmazonMQ::ConfigurationAssociation
AWS::Amplify::App,Amplify,App,amplify.app,Arn,,Arn,yes,yes,,The AWS::Amplify::App resource creates Apps in the Amplify Console. An App is a collection of branches.
AWS::Amplify::Branch,Amplify,Branch,amplify.branch,Arn,,Arn,yes,yes,,The AWS::Amplify::Branch resource creates a new branch within an app.
AWS::Amplify::Domain,Amplify,Domain,amplify.domain,Arn,,Arn,yes,no,,The AWS::Amplify::Domain resource allows you to connect a custom domain to your app.
AWS::AmplifyUIBuilder::Component,AmplifyUIBuilder,Component,amplifyuibuilder.component,"AppId,EnvironmentName,Id",,,yes,yes,,Definition of AWS::AmplifyUIBuilder::Component Resource Type
AWS::AmplifyUIBuilder::Form,AmplifyUIBuilder,Form,amplifyuibuilder.form,"AppId,EnvironmentName,Id",,,yes,yes,,Definition of AWS::AmplifyUIBuilder::Form Resource Type
AWS::AmplifyUIBuilder::Theme,AmplifyUIBuilder,Theme,amplifyuibuilder.theme,"AppId,EnvironmentName,Id",,,yes,yes,,Definition of AWS::AmplifyUIBuilder::Theme Resource Type
AWS::ApiGateway::Account,ApiGateway,Account,apigateway.account,Id,,,yes,no,,"The ``AWS::ApiGateway::Account`` resource specifies the IAM role that Amazon API Gateway uses to write API logs to Amazon CloudWatch Logs. To avoid overwriting other roles, you should only have one ``"
AWS::ApiGateway::ApiKey,ApiGateway,ApiKey,apigateway.api_key,APIKeyId,,,yes,yes,,The ``AWS::ApiGateway::ApiKey`` resource creates a unique key that you can distribute to clients who are executing API Gateway ``Method`` resources that require an API key. To specify which API key cl
AWS::ApiGateway::Authorizer,ApiGateway,Authorizer,apigateway.authorizer,"RestApiId,AuthorizerId",,,yes,no,,The ``AWS::ApiGateway::Authorizer`` resource creates an authorization layer that API Gateway activates for methods that have authorization enabled. API Gateway activates the authorizer when a client c
AWS::ApiGateway::BasePathMapping,ApiGateway,BasePathMapping,apigateway.base_path_mapping,"DomainName,BasePath",,,yes,no,,The ``AWS::ApiGateway::BasePathMapping`` resource creates a base path that clients who call your API must use in the invocation URL. Supported only for public custom domain names.
AWS::ApiGateway::BasePathMappingV2,ApiGateway,BasePathMappingV2,apigateway.base_path_mapping_v2,BasePathMappingArn,,BasePathMappingArn,yes,no,,Resource Type definition for AWS::ApiGateway::BasePathMappingV2
AWS::ApiGateway::ClientCertificate,ApiGateway,ClientCertificate,apigateway.client_certificate,ClientCertificateId,,,yes,yes,,The ``AWS::ApiGateway::ClientCertificate`` resource creates a client certificate that API Gateway uses to configure client-side SSL authentication for sending requests to the integration endpoint.
AWS::ApiGateway::Deployment,ApiGateway,Deployment,apigateway.deployment,"DeploymentId,RestApiId",,,yes,no,,The ``AWS::ApiGateway::Deployment`` resource deploys an API Gateway ``RestApi`` resource to a stage so that clients can call the API over the internet. The stage acts as an environment.
AWS::ApiGateway::DocumentationPart,ApiGateway,DocumentationPart,apigateway.documentation_part,"DocumentationPartId,RestApiId",,,yes,no,,"The ``AWS::ApiGateway::DocumentationPart`` resource creates a documentation part for an API. For more information, see [Representation of API Documentation in API Gateway](https://docs.aws.amazon.com/"
AWS::ApiGateway::DocumentationVersion,ApiGateway,DocumentationVersion,apigateway.documentation_version,"DocumentationVersion,RestApiId",,,yes,no,,"The ``AWS::ApiGateway::DocumentationVersion`` resource creates a snapshot of the documentation for an API. For more information, see [Representation of API Documentation in API Gateway](https://docs.a"
AWS::ApiGateway::DomainName,ApiGateway,DomainName,apigateway.domain_name,DomainName,,DomainNameArn,yes,yes,,"The ``AWS::ApiGateway::DomainName`` resource specifies a public custom domain name for your API in API Gateway.  To create a custom domain name for private APIs, use [AWS::ApiGateway::DomainNameV2](ht"
AWS::ApiGateway::DomainNameAccessAssociation,ApiGateway,DomainNameAccessAssociation,apigateway.domain_name_access_association,DomainNameAccessAssociationArn,,DomainNameAccessAssociationArn,yes,yes,,Resource Type definition for AWS::ApiGateway::DomainNameAccessAssociation.
AWS::ApiGateway::DomainNameV2,ApiGateway,DomainNameV2,apigateway.domain_name_v2,DomainNameArn,,DomainNameArn,yes,yes,,Resource Type definition for AWS::ApiGateway::DomainNameV2.
