provider,service_group,resource,category,name,schema_path,doc,params_json,permissions
aws,Security,access-analyzer-finding,filter,and,aws.access-analyzer-finding.filters.and,Parent base class for filters and actions.,,
aws,Security,access-analyzer-finding,filter,event,aws.access-analyzer-finding.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,access-analyzer-finding,filter,list-item,aws.access-analyzer-finding.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,Security,access-analyzer-finding,filter,not,aws.access-analyzer-finding.filters.not,Parent base class for filters and actions.,,
aws,Security,access-analyzer-finding,filter,or,aws.access-analyzer-finding.filters.or,Parent base class for filters and actions.,,
aws,Security,access-analyzer-finding,filter,reduce,aws.access-analyzer-finding.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
aws,Security,access-analyzer-finding,filter,value,aws.access-analyzer-finding.filters.value,Generic value filter using jmespath,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,access-analyzer-finding,action,webhook,aws.access-analyzer-finding.actions.webhook,Calls a webhook with optional parameters and body,"{""properties"":{""url"":""string"",""body"":""string"",""batch"":""boolean"",""batch-size"":""number"",""method"":""string"",""query-params"":""object"",""headers"":""object""},""required"":[""url"",""type""]}",
aws,Security,account,filter,access-analyzer,aws.account.filters.access-analyzer,Check for access analyzers in an account,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",access-analyzer:ListAnalyzers
aws,Security,account,filter,and,aws.account.filters.and,Parent base class for filters and actions.,,
aws,Security,account,filter,bedrock-model-invocation-logging,aws.account.filters.bedrock-model-invocation-logging,Filter for account to look at bedrock model invocation logging configuration,"{""properties"":{""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",bedrock:GetModelInvocationLoggingConfiguration
aws,Security,account,filter,check-cloudtrail,aws.account.filters.check-cloudtrail,Verify cloud trail enabled for this account per specifications.,"{""properties"":{""multi-region"":""boolean"",""global-events"":""boolean"",""current-region"":""boolean"",""running"":""boolean"",""notifies"":""boolean"",""file-digest"":""boolean"",""kms"":""boolean"",""kms-key"":""string"",""include-management-events"":""boolean"",""log-metric-filter-pattern"":""?""},""required"":[""type""]}","cloudtrail:DescribeTrails,cloudtrail:GetTrailStatus,cloudtrail:GetEventSelectors,cloudwatch:DescribeAlarmsForMetric,logs:DescribeMetricFilters,sns:GetTopicAttributes"
aws,Security,account,filter,check-config,aws.account.filters.check-config,Is config service enabled for this account,"{""properties"":{""all-resources"":""boolean"",""running"":""boolean"",""global-resources"":""boolean""},""required"":[""type""]}","config:DescribeDeliveryChannels,config:DescribeConfigurationRecorders,config:DescribeConfigurationRecorderStatus"
aws,Security,account,filter,check-macie,aws.account.filters.check-macie,Check status of macie v2 in the account.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}","macie2:GetMacieSession,macie2:GetMasterAccount"
aws,Security,account,filter,credential,aws.account.filters.credential,Use IAM Credential report to filter users.,"{""properties"":{""value_type"":""#/definitions/filters_common/value_types"",""key"":""string"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""report_generate"":""boolean"",""report_delay"":""number"",""report_max_age"":""number""},""required"":[""type""]}","iam:GenerateCredentialReport,iam:GetCredentialReport"
aws,Security,account,filter,default-ebs-encryption,aws.account.filters.default-ebs-encryption,Filter an account by its ebs encryption status.,"{""properties"":{""state"":""boolean"",""key"":""?""},""required"":[""type""]}",ec2:GetEbsEncryptionByDefault
